country,year,population_0-19,population_20-39,population_40-59,population_60+
Eswatini,1992,269000,260000,107000,34100
Eswatini,1993,275000,268000,111000,34800
Eswatini,1994,275000,261000,111000,35200
Eswatini,1995,274000,254000,111000,35600
Eswatini,1996,276000,261000,114000,36200
Eswatini,1997,277000,269000,117000,36900
Eswatini,1998,276000,277000,120000,37900
Eswatini,1999,277000,284000,123000,38900
Eswatini,2000,279000,292000,125000,40200
Eswatini,2001,282000,299000,128000,41500
Eswatini,2002,283000,306000,129000,42800
Eswatini,2003,285000,312000,131000,44200
Eswatini,2004,285000,318000,132000,45500
Eswatini,2005,285000,323000,132000,47000
Eswatini,2006,286000,327000,132000,48500
Eswatini,2007,287000,332000,133000,49800
Eswatini,2008,289000,338000,135000,50900
Eswatini,2009,289000,345000,138000,51900
Eswatini,2010,286000,352000,141000,53000
Eswatini,2011,283000,360000,143000,54100
Eswatini,2012,279000,366000,145000,55500
Eswatini,2013,275000,372000,148000,57200
Eswatini,2014,274000,376000,150000,59000
Eswatini,2015,273000,380000,154000,60900
Eswatini,2016,273000,383000,157000,63100
Eswatini,2017,272000,386000,161000,65600
Eswatini,2018,272000,391000,166000,68100
Eswatini,2019,270000,396000,171000,70700
Eswatini,2020,269000,402000,177000,72900
Eswatini,2021,269000,408000,184000,74100
Eswatini,2022,270000,412000,190000,75700
Eswatini,2023,271000,413000,197000,77900
Eswatini,2024,270000,415000,203000,80000
Ethiopia,1950,4980000,4920000,2350000,855000
Ethiopia,1951,4990000,5030000,2410000,867000
Ethiopia,1952,5030000,5150000,2470000,880000
Ethiopia,1953,5070000,5260000,2530000,893000
Ethiopia,1954,5140000,5370000,2590000,905000
Ethiopia,1955,5250000,5490000,2660000,916000
Ethiopia,1956,5400000,5610000,2730000,928000
Ethiopia,1957,5500000,5730000,2790000,933000
Ethiopia,1958,5590000,5840000,2850000,934000
Ethiopia,1959,5730000,5970000,2920000,945000
Ethiopia,1960,5920000,6110000,2990000,967000
Ethiopia,1961,6150000,6260000,3060000,993000
Ethiopia,1962,6400000,6420000,3130000,1020000
Ethiopia,1963,6630000,6580000,3210000,1060000
Ethiopia,1964,6830000,6760000,3280000,1090000
Ethiopia,1965,7000000,6940000,3360000,1130000
Ethiopia,1966,7130000,7130000,3440000,1160000
Ethiopia,1967,7270000,7330000,3520000,1190000
Ethiopia,1968,7440000,7520000,3600000,1230000
Ethiopia,1969,7630000,7700000,3690000,1260000
Ethiopia,1970,7840000,7860000,3780000,1300000
Ethiopia,1971,8070000,7990000,3870000,1340000
Ethiopia,1972,8290000,8130000,3960000,1370000
Ethiopia,1973,8520000,8270000,4060000,1410000
Ethiopia,1974,8750000,8420000,4150000,1440000
Ethiopia,1975,8990000,8560000,4240000,1470000
Ethiopia,1976,9290000,8680000,4340000,1500000
Ethiopia,1977,9560000,8750000,4410000,1530000
Ethiopia,1978,9820000,8820000,4470000,1550000
Ethiopia,1979,10040000,8890000,4520000,1570000
Ethiopia,1980,10150000,8900000,4520000,1570000
Ethiopia,1981,10450000,9090000,4620000,1610000
Ethiopia,1982,10900000,9430000,4780000,1670000
Ethiopia,1983,11190000,9720000,4910000,1710000
Ethiopia,1984,11420000,10000000,5040000,1740000
Ethiopia,1985,11690000,10400000,5180000,1770000
Ethiopia,1986,12000000,10700000,5320000,1820000
Ethiopia,1987,12440000,11200000,5490000,1880000
Ethiopia,1988,13010000,11600000,5680000,1960000
Ethiopia,1989,13610000,12100000,5850000,2040000
Ethiopia,1990,14200000,12700000,6010000,2110000
Ethiopia,1991,14840000,13300000,6180000,2200000
Ethiopia,1992,15440000,14000000,6360000,2300000
Ethiopia,1993,16120000,14500000,6520000,2370000
Ethiopia,1994,16720000,15000000,6700000,2440000
Ethiopia,1995,17310000,15500000,6890000,2500000
Ethiopia,1996,17790000,16000000,7080000,2550000
Ethiopia,1997,18340000,16400000,7270000,2620000
Ethiopia,1998,18760000,16900000,7460000,2690000
Ethiopia,1999,19190000,17400000,7690000,2770000
Ethiopia,2000,19660000,17900000,7930000,2840000
Ethiopia,2001,20190000,18400000,8180000,2930000
Ethiopia,2002,20800000,18800000,8450000,3020000
Ethiopia,2003,21370000,19300000,8730000,3120000
Ethiopia,2004,22070000,19800000,9020000,3220000
Ethiopia,2005,22750000,20300000,9320000,3330000
Ethiopia,2006,23330000,20900000,9620000,3450000
Ethiopia,2007,23910000,21600000,9940000,3580000
Ethiopia,2008,24490000,22300000,10300000,3710000
Ethiopia,2009,25090000,23100000,10700000,3840000
Ethiopia,2010,25600000,24000000,11000000,3960000
Ethiopia,2011,26100000,24900000,11500000,4090000
Ethiopia,2012,26500000,26000000,11900000,4220000
Ethiopia,2013,26900000,27100000,12300000,4370000
Ethiopia,2014,27300000,28300000,12800000,4530000
Ethiopia,2015,27800000,29500000,13200000,4700000
Ethiopia,2016,28300000,30700000,13700000,4870000
Ethiopia,2017,29000000,32000000,14200000,5060000
Ethiopia,2018,29700000,33200000,14700000,5260000
Ethiopia,2019,30500000,34500000,15200000,5480000
Ethiopia,2020,31300000,35800000,15700000,5720000
Ethiopia,2021,32100000,37100000,16200000,5960000
Ethiopia,2022,32900000,38500000,16700000,6220000
Ethiopia,2023,33500000,39900000,17200000,6500000
Ethiopia,2024,34000000,41300000,17700000,6800000
Faeroe Islands,1950,6630,9510,5820,3310
Faeroe Islands,1951,6580,9460,5950,3340
Faeroe Islands,1952,6490,9370,6070,3380
Faeroe Islands,1953,6370,9240,6180,3430
Faeroe Islands,1954,6280,9080,6280,3480
Faeroe Islands,1955,6240,8890,6390,3550
Faeroe Islands,1956,6270,8780,6510,3610
Faeroe Islands,1957,6400,8780,6650,3670
Faeroe Islands,1958,6600,8770,6800,3740
Faeroe Islands,1959,6830,8750,6960,3820
Faeroe Islands,1960,7030,8760,7120,3900
Faeroe Islands,1961,7150,8810,7280,3980
Faeroe Islands,1962,7230,8900,7420,4050
Faeroe Islands,1963,7320,9010,7550,4130
Faeroe Islands,1964,7430,9130,7670,4220
Faeroe Islands,1965,7600,9250,7770,4320
Faeroe Islands,1966,7710,9390,7880,4410
Faeroe Islands,1967,7730,9530,7990,4500
Faeroe Islands,1968,7710,9650,8080,4590
Faeroe Islands,1969,7690,9750,8150,4690
Faeroe Islands,1970,7650,9850,8200,4810
Faeroe Islands,1971,7600,10000,8240,4930
Faeroe Islands,1972,7520,10300,8260,5070
Faeroe Islands,1973,7450,10500,8270,5190
Faeroe Islands,1974,7430,10800,8270,5320
Faeroe Islands,1975,7450,11100,8260,5450
Faeroe Islands,1976,7510,11300,8240,5590
Faeroe Islands,1977,7600,11500,8230,5730
Faeroe Islands,1978,7680,11800,8250,5900
Faeroe Islands,1979,7720,12100,8280,6080
Faeroe Islands,1980,7770,12400,8320,6270
Faeroe Islands,1981,7880,12700,8390,6460
Faeroe Islands,1982,8030,12900,8490,6650
Faeroe Islands,1983,8080,13100,8630,6830
Faeroe Islands,1984,8070,13300,8800,6990
Faeroe Islands,1985,7980,13600,8960,7130
Faeroe Islands,1986,7830,13900,9100,7230
Faeroe Islands,1987,7740,14200,9290,7330
Faeroe Islands,1988,7810,14400,9540,7420
Faeroe Islands,1989,8000,14600,9840,7490
Faeroe Islands,1990,8060,14400,10100,7570
Faeroe Islands,1991,7890,13800,10200,7660
Faeroe Islands,1992,7670,13300,10200,7730
Faeroe Islands,1993,7400,12600,10300,7780
Faeroe Islands,1994,7100,12000,10300,7800
Faeroe Islands,1995,6870,11700,10400,7820
Faeroe Islands,1996,6760,11800,10700,7850
Faeroe Islands,1997,6720,11900,10900,7890
Faeroe Islands,1998,6700,11900,11100,7940
Faeroe Islands,1999,6630,11900,11300,7970
Faeroe Islands,2000,6590,12100,11500,8040
Faeroe Islands,2001,6620,12200,11700,8160
Faeroe Islands,2002,6720,12300,11900,8320
Faeroe Islands,2003,6900,12300,12000,8520
Faeroe Islands,2004,7140,12300,12200,8710
Faeroe Islands,2005,7290,12300,12400,8890
Faeroe Islands,2006,7380,12100,12600,9040
Faeroe Islands,2007,7440,11800,12800,9210
Faeroe Islands,2008,7400,11600,12800,9430
Faeroe Islands,2009,7220,11500,12800,9660
Faeroe Islands,2010,6950,11400,12700,9920
Faeroe Islands,2011,6740,11300,12700,10200
Faeroe Islands,2012,6680,11200,12700,10400
Faeroe Islands,2013,6670,11100,12800,10600
Faeroe Islands,2014,6680,11000,12800,10900
Faeroe Islands,2015,6740,11000,12900,11100
Faeroe Islands,2016,6820,11300,13000,11300
Faeroe Islands,2017,6930,11600,13000,11600
Faeroe Islands,2018,7070,11900,13100,11800
Faeroe Islands,2019,7200,12200,13200,12000
Faeroe Islands,2020,7300,12500,13200,12300
Faeroe Islands,2021,7370,12700,13300,12600
Faeroe Islands,2022,7400,13100,13400,12700
Faeroe Islands,2023,7420,13600,13400,12800
Faeroe Islands,2024,7420,14100,13400,13000
Falkland Is (Malvinas),1950,506,587,311,227
Falkland Is (Malvinas),1951,446,633,398,225
Falkland Is (Malvinas),1952,407,673,493,221
Falkland Is (Malvinas),1953,388,696,539,220
Falkland Is (Malvinas),1954,386,696,542,220
Falkland Is (Malvinas),1955,389,687,547,225
Falkland Is (Malvinas),1956,390,689,553,229
Falkland Is (Malvinas),1957,389,701,556,232
Falkland Is (Malvinas),1958,387,719,560,237
Falkland Is (Malvinas),1959,386,736,563,240
Falkland Is (Malvinas),1960,390,750,564,244
Falkland Is (Malvinas),1961,395,756,566,254
Falkland Is (Malvinas),1962,391,757,564,262
Falkland Is (Malvinas),1963,383,752,563,266
Falkland Is (Malvinas),1964,376,742,565,273
Falkland Is (Malvinas),1965,370,733,566,278
Falkland Is (Malvinas),1966,365,721,568,284
Falkland Is (Malvinas),1967,365,706,571,293
Falkland Is (Malvinas),1968,370,692,567,302
Falkland Is (Malvinas),1969,371,684,561,312
Falkland Is (Malvinas),1970,370,675,556,317
Falkland Is (Malvinas),1971,368,669,549,322
Falkland Is (Malvinas),1972,358,671,541,328
Falkland Is (Malvinas),1973,348,675,539,333
Falkland Is (Malvinas),1974,347,669,540,339
Falkland Is (Malvinas),1975,354,656,543,344
Falkland Is (Malvinas),1976,358,644,549,345
Falkland Is (Malvinas),1977,358,629,554,346
Falkland Is (Malvinas),1978,355,609,564,346
Falkland Is (Malvinas),1979,342,594,571,350
Falkland Is (Malvinas),1980,328,585,574,352
Falkland Is (Malvinas),1981,326,582,577,350
Falkland Is (Malvinas),1982,328,582,581,351
Falkland Is (Malvinas),1983,332,589,580,352
Falkland Is (Malvinas),1984,338,599,576,352
Falkland Is (Malvinas),1985,351,609,570,351
Falkland Is (Malvinas),1986,361,622,564,350
Falkland Is (Malvinas),1987,359,646,569,351
Falkland Is (Malvinas),1988,355,674,586,351
Falkland Is (Malvinas),1989,351,700,603,348
Falkland Is (Malvinas),1990,344,727,620,345
Falkland Is (Malvinas),1991,339,772,642,339
Falkland Is (Malvinas),1992,339,835,676,338
Falkland Is (Malvinas),1993,339,902,709,340
Falkland Is (Malvinas),1994,334,970,735,347
Falkland Is (Malvinas),1995,323,1040,758,355
Falkland Is (Malvinas),1996,320,1100,776,364
Falkland Is (Malvinas),1997,324,1130,782,375
Falkland Is (Malvinas),1998,328,1160,793,391
Falkland Is (Malvinas),1999,325,1180,821,402
Falkland Is (Malvinas),2000,321,1190,851,413
Falkland Is (Malvinas),2001,323,1190,872,427
Falkland Is (Malvinas),2002,338,1180,881,442
Falkland Is (Malvinas),2003,352,1160,887,454
Falkland Is (Malvinas),2004,359,1140,897,466
Falkland Is (Malvinas),2005,356,1130,904,476
Falkland Is (Malvinas),2006,350,1120,918,483
Falkland Is (Malvinas),2007,353,1090,933,491
Falkland Is (Malvinas),2008,360,1050,948,499
Falkland Is (Malvinas),2009,362,1020,962,503
Falkland Is (Malvinas),2010,358,981,979,505
Falkland Is (Malvinas),2011,351,946,1000,502
Falkland Is (Malvinas),2012,353,933,1030,499
Falkland Is (Malvinas),2013,363,940,1070,505
Falkland Is (Malvinas),2014,377,949,1110,509
Falkland Is (Malvinas),2015,390,956,1160,503
Falkland Is (Malvinas),2016,400,963,1200,506
Falkland Is (Malvinas),2017,400,967,1230,518
Falkland Is (Malvinas),2018,389,968,1230,535
Falkland Is (Malvinas),2019,369,970,1230,557
Falkland Is (Malvinas),2020,341,974,1230,576
Falkland Is (Malvinas),2021,331,948,1240,594
Falkland Is (Malvinas),2022,341,900,1250,613
Falkland Is (Malvinas),2023,352,853,1250,640
Falkland Is (Malvinas),2024,366,812,1250,676
Fiji,1950,86500,78800,36500,26500
Fiji,1951,88800,81100,36900,25500
Fiji,1952,91200,83400,37600,24500
Fiji,1953,93700,85800,38300,23500
Fiji,1954,96500,88400,39300,22700
Fiji,1955,99800,91000,40500,22000
Fiji,1956,103500,93900,41700,21400
Fiji,1957,107300,96800,43100,21000
Fiji,1958,111000,99900,44600,20600
Fiji,1959,114700,103000,46100,20400
Fiji,1960,118300,106000,47700,20100
Fiji,1961,122100,110000,49300,19900
Fiji,1962,126000,114000,51000,19700
Fiji,1963,130200,118000,52700,19700
Fiji,1964,134100,122000,54400,19700
Fiji,1965,137500,126000,56100,19900
Fiji,1966,140100,131000,58000,20100
Fiji,1967,141700,135000,59700,20400
Fiji,1968,142500,139000,61300,20800
Fiji,1969,143400,143000,62900,21200
Fiji,1970,144600,147000,64500,21700
Fiji,1971,146000,151000,66200,22200
Fiji,1972,147200,155000,67900,22800
Fiji,1973,148400,159000,69500,23400
Fiji,1974,149500,163000,71300,24100
Fiji,1975,151000,167000,73100,24800
Fiji,1976,153400,172000,75000,25600
Fiji,1977,157500,177000,77300,26400
Fiji,1978,162800,183000,80000,27400
Fiji,1979,168200,189000,82800,28300
Fiji,1980,173100,196000,85700,29100
Fiji,1981,177300,202000,88800,29800
Fiji,1982,180900,209000,91900,30500
Fiji,1983,183900,216000,95200,31300
Fiji,1984,185600,223000,98500,32000
Fiji,1985,187400,229000,102000,32900
Fiji,1986,188000,235000,106000,33900
Fiji,1987,187200,239000,109000,34700
Fiji,1988,186100,242000,112000,35200
Fiji,1989,184100,244000,115000,35800
Fiji,1990,182700,246000,117000,36400
Fiji,1991,182200,248000,120000,37000
Fiji,1992,182500,249000,122000,37600
Fiji,1993,183500,249000,125000,38300
Fiji,1994,185000,249000,127000,39000
Fiji,1995,186300,249000,130000,39900
Fiji,1996,187300,250000,133000,40800
Fiji,1997,188200,253000,137000,42200
Fiji,1998,190100,256000,141000,44000
Fiji,1999,190600,260000,146000,45900
Fiji,2000,191000,263000,150000,47800
Fiji,2001,190400,267000,154000,49700
Fiji,2002,189600,271000,158000,51500
Fiji,2003,189000,274000,163000,53200
Fiji,2004,188400,278000,167000,55000
Fiji,2005,188400,281000,171000,56900
Fiji,2006,188600,284000,175000,58900
Fiji,2007,189300,287000,178000,61100
Fiji,2008,188800,289000,181000,63300
Fiji,2009,188100,291000,183000,65300
Fiji,2010,187200,292000,185000,67100
Fiji,2011,184900,293000,187000,69000
Fiji,2012,182500,295000,189000,70700
Fiji,2013,179900,297000,190000,72400
Fiji,2014,177300,298000,190000,74300
Fiji,2015,174900,299000,191000,76400
Fiji,2016,172500,299000,192000,78500
Fiji,2017,170100,298000,194000,80900
Fiji,2018,167900,296000,195000,83400
Fiji,2019,165800,293000,197000,86000
Fiji,2020,164300,291000,199000,88600
Fiji,2021,163700,290000,201000,90600
Fiji,2022,163500,289000,203000,92500
Fiji,2023,163600,289000,206000,94900
Fiji,2024,163500,289000,209000,97300
Finland,1950,815000,1190000,902000,407000
Finland,1951,806000,1190000,919000,412000
Finland,1952,792000,1180000,938000,419000
Finland,1953,784000,1180000,958000,425000
Finland,1954,779000,1180000,975000,432000
Finland,1955,772000,1180000,988000,441000
Finland,1956,775000,1190000,997000,451000
Finland,1957,775000,1190000,1010000,461000
Finland,1958,763000,1200000,1010000,473000
Finland,1959,759000,1210000,1010000,486000
Finland,1960,769000,1210000,1020000,499000
Finland,1961,786000,1210000,1030000,513000
Finland,1962,810000,1220000,1030000,526000
Finland,1963,845000,1220000,1040000,539000
Finland,1964,869000,1220000,1050000,553000
Finland,1965,875000,1220000,1050000,568000
Finland,1966,864000,1250000,1060000,583000
Finland,1967,849000,1280000,1060000,600000
Finland,1968,830000,1310000,1060000,617000
Finland,1969,802000,1330000,1060000,634000
Finland,1970,774000,1330000,1060000,652000
Finland,1971,755000,1350000,1060000,669000
Finland,1972,740000,1390000,1060000,686000
Finland,1973,721000,1430000,1060000,703000
Finland,1974,707000,1460000,1060000,718000
Finland,1975,701000,1490000,1060000,731000
Finland,1976,697000,1510000,1060000,742000
Finland,1977,697000,1520000,1070000,753000
Finland,1978,701000,1530000,1080000,764000
Finland,1979,705000,1540000,1090000,772000
Finland,1980,702000,1550000,1090000,782000
Finland,1981,698000,1560000,1100000,797000
Finland,1982,695000,1580000,1110000,811000
Finland,1983,693000,1600000,1110000,826000
Finland,1984,686000,1610000,1120000,841000
Finland,1985,676000,1610000,1130000,855000
Finland,1986,662000,1600000,1160000,868000
Finland,1987,643000,1580000,1190000,881000
Finland,1988,624000,1560000,1220000,894000
Finland,1989,613000,1540000,1250000,908000
Finland,1990,613000,1520000,1280000,921000
Finland,1991,622000,1500000,1310000,934000
Finland,1992,634000,1480000,1330000,944000
Finland,1993,647000,1460000,1360000,951000
Finland,1994,654000,1440000,1390000,958000
Finland,1995,654000,1420000,1420000,968000
Finland,1996,649000,1410000,1440000,978000
Finland,1997,642000,1400000,1460000,989000
Finland,1998,638000,1390000,1480000,1000000
Finland,1999,632000,1380000,1490000,1020000
Finland,2000,626000,1370000,1510000,1030000
Finland,2001,620000,1350000,1520000,1050000
Finland,2002,611000,1350000,1540000,1060000
Finland,2003,604000,1340000,1550000,1070000
Finland,2004,602000,1330000,1570000,1090000
Finland,2005,604000,1320000,1570000,1120000
Finland,2006,610000,1320000,1560000,1160000
Finland,2007,619000,1310000,1550000,1200000
Finland,2008,626000,1310000,1530000,1250000
Finland,2009,631000,1310000,1510000,1290000
Finland,2010,633000,1320000,1490000,1330000
Finland,2011,632000,1330000,1480000,1360000
Finland,2012,628000,1350000,1460000,1390000
Finland,2013,621000,1360000,1440000,1420000
Finland,2014,612000,1380000,1430000,1450000
Finland,2015,601000,1380000,1420000,1480000
Finland,2016,591000,1390000,1410000,1510000
Finland,2017,580000,1390000,1400000,1530000
Finland,2018,569000,1380000,1390000,1560000
Finland,2019,558000,1380000,1390000,1580000
Finland,2020,548000,1380000,1380000,1600000
Finland,2021,545000,1380000,1380000,1620000
Finland,2022,547000,1380000,1390000,1650000
Finland,2023,548000,1380000,1400000,1680000
Finland,2024,551000,1370000,1400000,1710000
France,1950,7110000,11400000,11000000,6800000
France,1951,7190000,11500000,11100000,6850000
France,1952,7150000,11500000,11200000,6910000
France,1953,7120000,11600000,11400000,6960000
France,1954,7080000,11600000,11400000,7030000
France,1955,7030000,11800000,11400000,7100000
France,1956,6950000,12100000,11300000,7190000
France,1957,6890000,12400000,11000000,7300000
France,1958,6890000,12600000,10800000,7420000
France,1959,6920000,12800000,10700000,7570000
France,1960,6980000,12900000,10700000,7720000
France,1961,7190000,12700000,10800000,7890000
France,1962,7480000,12700000,10800000,8070000
France,1963,7780000,12600000,10900000,8230000
France,1964,8090000,12600000,10900000,8380000
France,1965,8370000,12600000,11000000,8530000
France,1966,8530000,12700000,11000000,8670000
France,1967,8530000,12800000,11100000,8810000
France,1968,8480000,13100000,11200000,8940000
France,1969,8390000,13300000,11200000,9060000
France,1970,8340000,13600000,11300000,9170000
France,1971,8330000,13800000,11400000,9290000
France,1972,8380000,14000000,11500000,9400000
France,1973,8420000,14200000,11500000,9520000
France,1974,8430000,14400000,11500000,9620000
France,1975,8350000,14600000,11700000,9630000
France,1976,8230000,14800000,11900000,9510000
France,1977,8100000,15000000,12100000,9370000
France,1978,8000000,15300000,12300000,9260000
France,1979,7950000,15500000,12500000,9190000
France,1980,7980000,15800000,12500000,9260000
France,1981,8070000,16100000,12400000,9450000
France,1982,8140000,16400000,12200000,9610000
France,1983,8180000,16600000,12200000,9760000
France,1984,8170000,16900000,12100000,9910000
France,1985,8150000,17200000,12100000,10100000
France,1986,8130000,17300000,12200000,10200000
France,1987,8140000,17300000,12400000,10400000
France,1988,8180000,17300000,12600000,10500000
France,1989,8190000,17300000,12800000,10700000
France,1990,8110000,17300000,13100000,10900000
France,1991,7960000,17300000,13300000,11100000
France,1992,7780000,17300000,13500000,11200000
France,1993,7620000,17300000,13700000,11400000
France,1994,7490000,17300000,13900000,11500000
France,1995,7460000,17200000,14100000,11700000
France,1996,7510000,17000000,14400000,11800000
France,1997,7540000,16900000,14600000,11900000
France,1998,7580000,16800000,14900000,12000000
France,1999,7620000,16700000,15200000,12100000
France,2000,7630000,16600000,15500000,12200000
France,2001,7660000,16600000,15800000,12300000
France,2002,7690000,16600000,16200000,12400000
France,2003,7730000,16500000,16500000,12500000
France,2004,7790000,16400000,16700000,12700000
France,2005,7830000,16400000,17000000,12800000
France,2006,7820000,16300000,17200000,13100000
France,2007,7810000,16300000,17200000,13500000
France,2008,7790000,16200000,17200000,13800000
France,2009,7760000,16200000,17200000,14200000
France,2010,7760000,16100000,17100000,14600000
France,2011,7730000,16000000,17200000,14900000
France,2012,7700000,15900000,17200000,15300000
France,2013,7740000,15800000,17300000,15600000
France,2014,7790000,15600000,17300000,15900000
France,2015,7790000,15600000,17300000,16300000
France,2016,7790000,15500000,17200000,16600000
France,2017,7780000,15500000,17200000,16900000
France,2018,7700000,15500000,17100000,17200000
France,2019,7620000,15600000,17100000,17500000
France,2020,7550000,15600000,17100000,17800000
France,2021,7510000,15600000,17000000,18000000
France,2022,7500000,15600000,17000000,18300000
France,2023,7500000,15600000,17000000,18600000
France,2024,7480000,15700000,16800000,18900000
French Guiana,1950,5370,6870,4690,2640
French Guiana,1951,5420,6870,4730,2610
French Guiana,1952,5440,6860,4770,2580
French Guiana,1953,5410,6850,4810,2550
French Guiana,1954,5380,6850,4850,2530
French Guiana,1955,5440,6970,4990,2540
French Guiana,1956,5600,7200,5210,2580
French Guiana,1957,5790,7430,5430,2640
French Guiana,1958,6010,7670,5670,2710
French Guiana,1959,6290,7900,5920,2790
French Guiana,1960,6630,8110,6190,2870
French Guiana,1961,7020,8330,6480,2970
French Guiana,1962,7490,8620,6700,3040
French Guiana,1963,8060,9030,6860,3090
French Guiana,1964,8640,9530,7030,3150
French Guiana,1965,9170,10100,7220,3200
French Guiana,1966,9600,10800,7420,3260
French Guiana,1967,9990,11600,7630,3320
French Guiana,1968,10220,12200,7800,3390
French Guiana,1969,10370,12700,7940,3460
French Guiana,1970,10620,13100,8090,3520
French Guiana,1971,11010,13600,8240,3600
French Guiana,1972,11450,14000,8400,3680
French Guiana,1973,11880,14400,8560,3750
French Guiana,1974,12290,15000,8710,3830
French Guiana,1975,12650,15900,8920,3920
French Guiana,1976,12920,17100,9190,4040
French Guiana,1977,13170,18300,9470,4170
French Guiana,1978,13500,19500,9770,4300
French Guiana,1979,13940,20800,10100,4440
French Guiana,1980,14430,22200,10400,4590
French Guiana,1981,14970,23600,10700,4740
French Guiana,1982,15640,25400,11100,4920
French Guiana,1983,16570,27400,11700,5110
French Guiana,1984,17640,29100,12500,5290
French Guiana,1985,18740,30900,13400,5460
French Guiana,1986,19900,32600,14400,5640
French Guiana,1987,21080,34300,15500,5830
French Guiana,1988,22330,36000,16700,6020
French Guiana,1989,23500,37700,18000,6230
French Guiana,1990,24600,39100,19300,6440
French Guiana,1991,25500,40200,20400,6640
French Guiana,1992,26400,41300,21500,6840
French Guiana,1993,27500,42400,22600,7070
French Guiana,1994,28600,43300,23900,7310
French Guiana,1995,29600,44100,25100,7550
French Guiana,1996,30500,44900,26400,7820
French Guiana,1997,31400,45600,27800,8120
French Guiana,1998,32300,46400,29200,8430
French Guiana,1999,33300,47500,30600,8770
French Guiana,2000,34900,49300,32000,9160
French Guiana,2001,36900,51300,33400,9600
French Guiana,2002,39100,53400,34800,10000
French Guiana,2003,41200,55400,36400,10500
French Guiana,2004,43500,57500,38100,11000
French Guiana,2005,45800,59600,39900,11500
French Guiana,2006,48300,61600,41400,12100
French Guiana,2007,50400,63600,42500,12600
French Guiana,2008,51400,65100,43700,13300
French Guiana,2009,51600,66000,44900,14000
French Guiana,2010,51300,67000,46200,14900
French Guiana,2011,51300,68300,47900,15800
French Guiana,2012,52200,69800,49700,16800
French Guiana,2013,54100,71100,51300,17700
French Guiana,2014,55900,72300,52900,18800
French Guiana,2015,56200,73500,54700,20200
French Guiana,2016,56200,74900,56500,21800
French Guiana,2017,56600,76400,58000,23500
French Guiana,2018,57700,77600,59500,25300
French Guiana,2019,58500,79100,60500,26700
French Guiana,2020,58500,80200,61500,27900
French Guiana,2021,59500,80800,62500,29200
French Guiana,2022,61000,82200,63400,30400
French Guiana,2023,62100,83200,64600,31800
French Guiana,2024,63800,83800,65700,33200
French Polynesia,1950,17060,18000,8730,2790
French Polynesia,1951,17590,18400,9090,2810
French Polynesia,1952,18200,18800,9460,2880
French Polynesia,1953,18990,19200,9840,2970
French Polynesia,1954,19950,19700,10200,3070
French Polynesia,1955,20990,20200,10600,3170
French Polynesia,1956,22110,20900,11000,3270
French Polynesia,1957,22900,21500,11200,3350
French Polynesia,1958,23360,22100,11500,3410
French Polynesia,1959,23710,22600,11700,3470
French Polynesia,1960,23860,23000,11900,3550
French Polynesia,1961,24040,23400,12100,3640
French Polynesia,1962,24270,23700,12300,3750
French Polynesia,1963,24690,24300,12600,3870
French Polynesia,1964,25240,25200,12900,4000
French Polynesia,1965,25920,26100,13300,4130
French Polynesia,1966,26770,26900,13700,4270
French Polynesia,1967,27650,27700,14100,4420
French Polynesia,1968,28880,28500,14500,4570
French Polynesia,1969,30100,29200,14900,4720
French Polynesia,1970,31600,30000,15400,4870
French Polynesia,1971,32800,30900,16000,5060
French Polynesia,1972,33900,32100,16500,5300
French Polynesia,1973,34700,33400,17100,5560
French Polynesia,1974,35300,35000,17600,5820
French Polynesia,1975,35700,36800,18200,6080
French Polynesia,1976,36000,38700,18900,6330
French Polynesia,1977,36600,40600,19500,6560
French Polynesia,1978,37300,42400,20300,6760
French Polynesia,1979,38600,44200,21100,6950
French Polynesia,1980,39800,46000,22000,7140
French Polynesia,1981,41200,48000,22900,7340
French Polynesia,1982,42600,50000,23800,7550
French Polynesia,1983,43800,52100,24800,7800
French Polynesia,1984,44900,54200,25700,8090
French Polynesia,1985,46000,56300,26600,8420
French Polynesia,1986,47100,58500,27500,8790
French Polynesia,1987,47800,60700,28400,9180
French Polynesia,1988,48500,62900,29300,9590
French Polynesia,1989,48800,64900,30100,10000
French Polynesia,1990,48900,66800,31000,10400
French Polynesia,1991,48800,68700,31900,10900
French Polynesia,1992,48600,70400,32900,11300
French Polynesia,1993,48000,72000,33900,11800
French Polynesia,1994,47500,73300,35100,12300
French Polynesia,1995,47000,74400,36400,12700
French Polynesia,1996,46800,75400,37900,13200
French Polynesia,1997,46700,76400,39500,13900
French Polynesia,1998,46700,77600,41100,14500
French Polynesia,1999,46900,78700,42700,15200
French Polynesia,2000,47400,79800,44400,16000
French Polynesia,2001,48400,80900,46100,16800
French Polynesia,2002,49200,81800,48100,17600
French Polynesia,2003,49900,82600,50200,18500
French Polynesia,2004,50300,83500,52300,19500
French Polynesia,2005,50100,84400,54500,20500
French Polynesia,2006,49800,85300,56700,21600
French Polynesia,2007,49300,85900,58900,22600
French Polynesia,2008,48600,86300,60900,23400
French Polynesia,2009,47700,86800,62500,24300
French Polynesia,2010,47000,87000,64000,25100
French Polynesia,2011,46500,87100,65500,26000
French Polynesia,2012,46200,87100,66900,26900
French Polynesia,2013,45700,87200,68100,28100
French Polynesia,2014,44900,87400,69200,29500
French Polynesia,2015,44200,87400,70200,30900
